price_pcm,bedrooms,bathrooms,property_type,lat,lon,first_seen,last_seen,furnished,floor_area_sqm
1200.0,1,1,flat,51.585203530303026,-0.4828881909090909,2025-11-24,2025-12-24,False,
1983.0,1,1,flat,51.49068898303572,-0.13942765625,2025-11-24,2025-12-24,False,31.122505
1800.0,1,1,flat,51.55406446794082,-0.11808778853267572,2025-11-24,2025-12-24,False,
2700.0,3,2,house,51.59139038515082,-0.32311011925754063,2025-11-24,2025-12-24,False,
3500.0,2,1,flat,51.52011815793781,-0.13647017266775777,2025-11-24,2025-12-24,True,
4000.0,2,2,flat,51.47743543582988,-0.20040995747083173,2025-11-24,2025-12-24,True,
2990.0,1,1,flat,51.48949378329571,-0.1088360519187359,2025-11-24,2025-12-24,False,
2700.0,2,1,flat,51.51281079468151,-0.21924794867037725,2025-11-24,2025-12-24,True,
3467.0,2,2,flat,51.48949378329571,-0.1088360519187359,2025-11-24,2025-12-24,True,
4333.0,4,2,flat,51.5401629313093,-0.1955834933586338,2025-11-24,2025-12-24,False,
2817.0,2,1,flat,51.51738197959183,-0.1595190670553936,2025-11-24,2025-12-24,True,
3000.0,4,2,flat,51.59993476022656,-0.11413586091881688,2025-11-24,2025-12-24,False,0.092903
6067.0,2,2,flat,51.512477784832456,-0.1238152328042328,2025-11-24,2025-12-24,,0.092903
4984.0,2,2,flat,51.512477784832456,-0.1238152328042328,2025-11-24,2025-12-24,True,0.092903
930.0,1,1,room,51.436488875,-0.441384,2025-11-24,2025-12-24,True,
6500.0,2,2,flat,51.513485913480885,-0.13649332494969818,2025-11-24,2025-12-24,,63.266943
6067.0,2,1,flat,51.512477784832456,-0.1238152328042328,2025-11-24,2025-12-24,,61.130174
8233.0,2,2,flat,51.48384067612293,-0.1830448439716312,2025-11-24,2025-12-24,,0.092903
1746.0,1,1,flat,51.539223795265904,-0.24892211558561328,2025-11-24,2025-12-24,,
4312.0,2,2,flat,51.48384067612293,-0.1830448439716312,2025-11-24,2025-12-24,True,0.092903
2150.0,1,1,flat,51.55406446794082,-0.11808778853267572,2025-11-24,2025-12-24,False,49.331493
3294.0,2,1,flat,51.487943556899396,-0.16460576745464542,2025-11-24,2025-12-24,True,47.752142
2578.0,2,1,flat,51.5401629313093,-0.1955834933586338,2025-11-24,2025-12-24,,
2708.0,1,1,flat,51.51427735651172,-0.18967870265078754,2025-11-24,2025-12-24,,
4225.0,2,2,flat,51.50041303916273,-0.19542366306549627,2025-11-24,2025-12-24,,
3497.0,3,1,flat,51.48384067612293,-0.1830448439716312,2025-11-24,2025-12-24,,
3100.0,1,1,flat,51.537578291428574,-0.09824299628571428,2025-11-24,2025-12-24,True,
1000.0,1,1,room,51.58242810663684,-0.12009510589112603,2025-11-24,2025-12-24,True,
2150.0,1,1,flat,51.492469131909544,-0.2311194302763819,2025-11-24,2025-12-24,True,
1750.0,1,1,flat,51.58656358890345,-0.2535432647444299,2025-11-24,2025-12-24,False,44.779246
2950.0,2,2,flat,51.457991143928034,-0.22571677261369316,2025-11-24,2025-12-24,True,85.749469
4680.0,2,2,flat,51.46722465169425,-0.16378422537431048,2025-11-24,2025-12-24,True,82.312058
3142.0,1,1,flat,51.476676133597884,-0.13268082076719578,2025-11-24,2025-12-24,True,
2817.0,1,1,flat,51.51427735651172,-0.18967870265078754,2025-11-24,2025-12-24,True,48.495366
3879.0,1,1,flat,51.49543283129771,-0.21118051679389313,2025-11-24,2025-12-24,,68.934026
2175.0,2,1,flat,51.59029315611814,-0.16861209599156118,2025-11-24,2025-12-24,True,64.660488
3900.0,2,1,flat,51.59029315611814,-0.16861209599156118,2025-11-24,2025-12-24,,64.660488
6873.0,3,2,flat,51.46722465169425,-0.16378422537431048,2025-11-24,2025-12-24,True,0.092903
4290.0,2,2,flat,51.46722465169425,-0.16378422537431048,2025-11-24,2025-12-24,True,80.268192
