postcode,ladcd,inferred_postcode_dist_m,price_pcm,bedrooms,bathrooms,property_type,lat,lon,first_seen,last_seen,furnished,floor_area_sqm
UB9 6AX,E09000017,310.66853539885057,1200.0,1,1,flat,51.585203530303026,-0.4828881909090909,2025-11-24,2025-12-24,False,
SW1V 2ES,E09000033,14.27327882320807,1983.0,1,1,flat,51.49068898303572,-0.13942765625,2025-11-24,2025-12-24,False,31.122505
N7 9RR,E09000019,32.14951362961634,1800.0,1,1,flat,51.55406446794082,-0.1180877885326757,2025-11-24,2025-12-24,False,
HA3 8NP,E09000015,51.11219700365208,2700.0,3,2,house,51.59139038515082,-0.3231101192575406,2025-11-24,2025-12-24,False,
W1T 4PJ,E09000007,16.922670854059486,3500.0,2,1,flat,51.52011815793781,-0.1364701726677577,2025-11-24,2025-12-24,True,
SW6 5TJ,E09000013,15.307056527901745,4000.0,2,2,flat,51.47743543582988,-0.2004099574708317,2025-11-24,2025-12-24,True,
SE11 4ZB,E09000022,22.993012299786628,2990.0,1,1,flat,51.48949378329571,-0.1088360519187359,2025-11-24,2025-12-24,False,
W10 6TT,E09000020,29.829647547862724,2700.0,2,1,flat,51.51281079468151,-0.2192479486703772,2025-11-24,2025-12-24,True,
SE11 4ZB,E09000022,22.993012299786628,3467.0,2,2,flat,51.48949378329571,-0.1088360519187359,2025-11-24,2025-12-24,True,
NW6 4HG,E09000007,32.62016705110161,4333.0,4,2,flat,51.5401629313093,-0.1955834933586338,2025-11-24,2025-12-24,False,
W1H 2LS,E09000033,15.465056583086245,2817.0,2,1,flat,51.51738197959183,-0.1595190670553936,2025-11-24,2025-12-24,True,
N22 8HB,E09000014,48.435554484480186,3000.0,4,2,flat,51.59993476022656,-0.1141358609188168,2025-11-24,2025-12-24,False,0.092903
WC2E 8NX,E09000033,11.266230028840841,6067.0,2,2,flat,51.512477784832456,-0.1238152328042328,2025-11-24,2025-12-24,,0.092903
WC2E 8NX,E09000033,11.266230028840841,4984.0,2,2,flat,51.512477784832456,-0.1238152328042328,2025-11-24,2025-12-24,True,0.092903
TW15 1BF,E09000018,61.65602610717771,930.0,1,1,room,51.436488875,-0.441384,2025-11-24,2025-12-24,True,
W1F 7NZ,E09000033,7.638679299851741,6500.0,2,2,flat,51.513485913480885,-0.1364933249496981,2025-11-24,2025-12-24,,63.266943
WC2E 8NX,E09000033,11.266230028840841,6067.0,2,1,flat,51.512477784832456,-0.1238152328042328,2025-11-24,2025-12-24,,61.130174
SW10 0JX,E09000020,24.324560121032196,8233.0,2,2,flat,51.48384067612293,-0.1830448439716312,2025-11-24,2025-12-24,,0.092903
NW10 4DT,E09000005,33.21460825053915,1746.0,1,1,flat,51.539223795265904,-0.2489221155856132,2025-11-24,2025-12-24,,
SW10 0JX,E09000020,24.324560121032196,4312.0,2,2,flat,51.48384067612293,-0.1830448439716312,2025-11-24,2025-12-24,True,0.092903
N7 9RR,E09000019,32.14951362961634,2150.0,1,1,flat,51.55406446794082,-0.1180877885326757,2025-11-24,2025-12-24,False,49.331493
SW3 4BP,E09000020,28.396313422833675,3294.0,2,1,flat,51.487943556899396,-0.1646057674546454,2025-11-24,2025-12-24,True,47.752142
NW6 4HG,E09000007,32.62016705110161,2578.0,2,1,flat,51.5401629313093,-0.1955834933586338,2025-11-24,2025-12-24,,
W2 4DQ,E09000033,23.408437527720313,2708.0,1,1,flat,51.51427735651172,-0.1896787026507875,2025-11-24,2025-12-24,,
W8 7DT,E09000020,15.317557461010553,4225.0,2,2,flat,51.50041303916273,-0.1954236630654962,2025-11-24,2025-12-24,,
SW10 0JX,E09000020,24.324560121032196,3497.0,3,1,flat,51.48384067612293,-0.1830448439716312,2025-11-24,2025-12-24,,
N1 8QF,E09000019,24.098612318902717,3100.0,1,1,flat,51.537578291428574,-0.0982429962857142,2025-11-24,2025-12-24,True,
N8 9BT,E09000014,66.67985838153666,1000.0,1,1,room,51.58242810663684,-0.120095105891126,2025-11-24,2025-12-24,True,
W6 9JH,E09000013,24.44943035800435,2150.0,1,1,flat,51.492469131909544,-0.2311194302763819,2025-11-24,2025-12-24,True,
NW9 0SJ,E09000005,10.442144790672884,1750.0,1,1,flat,51.58656358890345,-0.2535432647444299,2025-11-24,2025-12-24,False,44.779246
SW15 6DX,E09000032,28.853416394595985,2950.0,2,2,flat,51.457991143928034,-0.2257167726136931,2025-11-24,2025-12-24,True,85.749469
SW11 2JL,E09000032,31.244997681328407,4680.0,2,2,flat,51.46722465169425,-0.1637842253743104,2025-11-24,2025-12-24,True,82.312058
SW8 4RS,E09000022,8.711286732101136,3142.0,1,1,flat,51.47667613359789,-0.1326808207671957,2025-11-24,2025-12-24,True,
W2 4DQ,E09000033,23.408437527720313,2817.0,1,1,flat,51.51427735651172,-0.1896787026507875,2025-11-24,2025-12-24,True,48.495366
W14 8SB,E09000013,41.325366750603976,3879.0,1,1,flat,51.49543283129771,-0.2111805167938931,2025-11-24,2025-12-24,,68.934026
N2 8BS,E09000003,11.87549726213052,2175.0,2,1,flat,51.59029315611814,-0.1686120959915611,2025-11-24,2025-12-24,True,64.660488
N2 8BS,E09000003,11.87549726213052,3900.0,2,1,flat,51.59029315611814,-0.1686120959915611,2025-11-24,2025-12-24,,64.660488
SW11 2JL,E09000032,31.244997681328407,6873.0,3,2,flat,51.46722465169425,-0.1637842253743104,2025-11-24,2025-12-24,True,0.092903
SW11 2JL,E09000032,31.244997681328407,4290.0,2,2,flat,51.46722465169425,-0.1637842253743104,2025-11-24,2025-12-24,True,80.268192
NW3 5PX,E09000007,12.137885901444948,3250.0,2,2,flat,51.55257703591954,-0.173202510775862,2025-11-24,2025-12-24,True,88.25785
W1G 8TD,E09000033,1.4781446917108236,2535.0,1,1,flat,51.519082125,-0.1480343883928571,2025-11-24,2025-12-24,,
W1H 2LS,E09000033,15.465056583086245,2297.0,1,1,flat,51.51738197959183,-0.1595190670553936,2025-11-24,2025-12-24,,
W1H 2LS,E09000033,15.465056583086245,2427.0,1,1,flat,51.51738197959183,-0.1595190670553936,2025-11-24,2025-12-24,,
NW8 9JQ,E09000033,8.116477140823335,2492.0,1,1,flat,51.53176616828676,-0.1747474592952612,2025-11-24,2025-12-24,,
N7 9RR,E09000019,32.14951362961634,1668.0,1,1,flat,51.55406446794082,-0.1180877885326757,2025-11-24,2025-12-24,True,
SW1W 9TR,E09000033,10.393531785289957,7150.0,3,2,flat,51.49319411793612,-0.1476949017199017,2025-11-24,2025-12-24,True,
SE1 4YG,E09000028,23.641484686942793,3463.0,2,2,flat,51.498221639357645,-0.0903571355470876,2025-11-24,2025-12-24,True,66.146936
EN5 5BA,E09000003,54.56553186244586,2700.0,1,1,flat,51.647689961322875,-0.1897975347533632,2025-11-24,2025-12-24,,33.44508
EN5 5BA,E09000003,54.56553186244586,1700.0,1,1,flat,51.647689961322875,-0.1897975347533632,2025-11-24,2025-12-24,False,33.44508
W1H 2LS,E09000033,15.465056583086245,5200.0,3,3,flat,51.51738197959183,-0.1595190670553936,2025-11-24,2025-12-24,False,0.092903
W1H 2LS,E09000033,15.465056583086245,3502.0,3,1,flat,51.51738197959183,-0.1595190670553936,2025-11-24,2025-12-24,True,89.930104
SE1 4YG,E09000028,23.641484686942793,3640.0,2,2,flat,51.498221639357645,-0.0903571355470876,2025-11-24,2025-12-24,True,79.246259
UB2 4EQ,E09000009,73.31123209893354,1550.0,1,1,flat,51.50063797532468,-0.3802552974025974,2025-11-24,2025-12-24,True,
W9 2HH,E09000033,41.34535479477448,3033.0,2,2,flat,51.523169987755104,-0.1941396873469387,2025-11-24,2025-12-24,False,
SW10 0JX,E09000020,24.324560121032196,4117.0,2,2,flat,51.48384067612293,-0.1830448439716312,2025-11-24,2025-12-24,True,87.700432
W9 2HH,E09000033,41.34535479477448,3250.0,2,2,flat,51.523169987755104,-0.1941396873469387,2025-11-24,2025-12-24,True,
W7 3BA,E09000009,9.063284486554064,3700.0,3,1,house,51.5096821066823,-0.3350741207502931,2025-11-24,2025-12-24,False,
NW10 4DT,E09000005,33.21460825053915,2300.0,2,1,flat,51.539223795265904,-0.2489221155856132,2025-11-24,2025-12-24,,
NW10 4DT,E09000005,33.21460825053915,2300.0,2,1,flat,51.539223795265904,-0.2489221155856132,2025-11-24,2025-12-24,False,
W4 4JB,E09000018,16.03821145554842,8502.0,4,3,house,51.49140459244728,-0.2635797086807258,2025-11-24,2025-12-24,False,0.185806
SW11 2JL,E09000032,31.244997681328407,2200.0,1,1,flat,51.46722465169425,-0.1637842253743104,2025-11-24,2025-12-24,True,56.485024
SW7 5BD,E09000020,26.959162474718056,2350.0,1,1,flat,51.49650520565371,-0.1765137879858657,2025-11-24,2025-12-24,True,35.024431
HA9 8DU,E09000005,8.30217035777938,3500.0,6,3,house,51.55854584270242,-0.2899978896338319,2025-11-24,2025-12-24,True,
UB2 4EQ,E09000009,73.31123209893354,1900.0,2,2,flat,51.50063797532468,-0.3802552974025974,2025-11-24,2025-12-24,False,
W9 2HH,E09000033,41.34535479477448,2000.0,1,1,flat,51.523169987755104,-0.1941396873469387,2025-11-24,2025-12-24,True,37.718618
SW1V 2ES,E09000033,14.27327882320807,5308.0,3,2,flat,51.49068898303572,-0.13942765625,2025-11-24,2025-12-24,True,81.75464
