la_code,ladcd,area,count_rents,mean_rent,lower_quartile_rent,median_rent,upper_quartile_rent
5210,E09000007,Camden,10.0,935.0,780.0,900.0,1050.0
5030,E09000001,City of London,0.0,,,,
5360,E09000012,Hackney,10.0,786.0,,700.0,
5390,E09000013,Hammersmith and Fulham,0.0,,,,
5420,E09000014,Haringey,30.0,826.0,685.0,856.0,963.0
5570,E09000019,Islington,10.0,759.0,,777.0,
5600,E09000020,Kensington and Chelsea,40.0,948.0,867.0,910.0,1018.0
5660,E09000022,Lambeth,,,,,
5690,E09000023,Lewisham,100.0,744.0,650.0,750.0,825.0
5750,E09000025,Newham,50.0,751.0,672.0,780.0,880.0
5840,E09000028,Southwark,30.0,866.0,725.0,850.0,1000.0
5900,E09000030,Tower Hamlets,30.0,869.0,750.0,845.0,1000.0
5960,E09000032,Wandsworth,50.0,780.0,723.0,773.0,855.0
5990,E09000033,Westminster,20.0,967.0,910.0,945.0,990.0
5060,E09000002,Barking and Dagenham,10.0,564.0,,600.0,
5090,E09000003,Barnet,30.0,635.0,500.0,650.0,725.0
5120,E09000004,Bexley,,,,,
5150,E09000005,Brent,40.0,833.0,720.0,810.0,900.0
5180,E09000006,Bromley,10.0,704.0,,675.0,
5240,E09000008,Croydon,50.0,652.0,575.0,617.0,800.0
5270,E09000009,Ealing,10.0,721.0,750.0,796.0,817.0
5300,E09000010,Enfield,20.0,691.0,625.0,700.0,800.0
5330,E09000011,Greenwich,50.0,785.0,600.0,733.0,893.0
5450,E09000015,Harrow,20.0,700.0,675.0,695.0,800.0
5480,E09000016,Havering,10.0,689.0,650.0,700.0,750.0
5510,E09000017,Hillingdon,20.0,680.0,625.0,673.0,800.0
5540,E09000018,Hounslow,100.0,703.0,600.0,675.0,800.0
5630,E09000021,Kingston upon Thames,20.0,650.0,625.0,650.0,700.0
5720,E09000024,Merton,40.0,765.0,650.0,750.0,875.0
5780,E09000026,Redbridge,40.0,771.0,695.0,748.0,850.0
5810,E09000027,Richmond upon Thames,0.0,,,,
5870,E09000029,Sutton,,,,,
5930,E09000031,Waltham Forest,30.0,651.0,600.0,633.0,673.0
