address,subdistrict_code,rent,deposit,Let type,Furnish Type,Coucil Tax,PROPERTY TYPE,BEDROOMS,BATHROOMS,SIZE,avg_distance_to_nearest_station,nearest_station_count
"Morse Close, Harefield, UB9",UB9,1200,1384,Long term,Unfurnished,Ask agent,Apartment,1.0,1.0,Ask agent,2.1,3
"Dolphin Square, London, SW1V",SW1V,1983,2288,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,1.0,1.0,335 sq ft,0.4,3
"Warlters Road, Holloway, London, N7",N7,1800,0,Long term,Unfurnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.5,3
"Northwick Avenue, Harrow, HA3",HA3,2700,3115,Long term,Unfurnished,Ask agent,End of Terrace,3.0,2.0,Ask agent,0.4,3
"Fitzroy Street, London, W1T",W1T,3500,3500,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.2,3
"Watermans Quay, London, SW6",SW6,4000,0,Long term,Furnished,Ask agent,Flat,2.0,2.0,Ask agent,0.6,3
"Barandon Walk, London, W11",W11,2700,2700,Long term,Furnished,Ask agent,Maisonette,2.0,1.0,Ask agent,0.3,3
"St James Mansions, Hilltop Road, West Hampstead, NW6",NW6,4333,0,Long term,Unfurnished,Ask agent,Flat,4.0,2.0,Ask agent,0.3,3
"Harrowby Street, Marylebone, W1H",W1H,2817,3250,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.3,3
"Lordship Lane, N22, Wood Green, London, N22",N22,3000,3462,Long term,Unfurnished,Ask agent,Maisonette,4.0,2.0,"1,592 sq ft",0.8,3
"Harlequin Court, Covent Garden, London, WC2E",WC2E,6067,1400,Short term,Ask agent,Ask agent,Flat,2.0,2.0,"1,100 sq ft",0.2,3
"Harlequin Court, Covent Garden, London, WC2E",WC2E,4984,5750,Long term,Furnished,Ask agent,Flat,2.0,2.0,"1,100 sq ft",0.2,3
"Uxbridge Road, London, W12",W12,1250,1442,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.2,3
"R3 / 45 Ashford Road, Ashford, TW15",TW15,930,930,Long term,Furnished,Ask agent,House Share,1.0,1.0,Ask agent,1.2,3
"Sandringham Court, Soho, London, W1F",W1F,6500,1500,Short term,Ask agent,Ask agent,Flat,2.0,2.0,681 sq ft,0.3,3
"Garrick Street, Covent Garden, London, WC2E",WC2E,6067,1400,Short term,Ask agent,Ask agent,Flat,2.0,1.0,658 sq ft,0.2,3
"Dolphin Square, London, SW1V",SW1V,2088,2409,Long term,Furnished,Ask agent,Apartment,,1.0,296 sq ft,0.5,3
"Chelsea Harbour, Chelsea, London, SW10",SW10,8233,1900,Short term,Ask agent,Ask agent,Flat,2.0,2.0,"1,159 sq ft",0.6,3
"Park Avenue North, London, NW10",NW10,1746,0,Long term,Ask agent,Ask agent,Apartment,1.0,,Ask agent,0.6,3
"Chelsea Harbour, Chelsea, London, SW10",SW10,4312,4975,Long term,Furnished,Ask agent,Flat,2.0,2.0,"1,159 sq ft",0.6,3
"Rosemoor Street, Chelsea, London, SW3",SW3,3294,3800,Long term,Furnished,Ask agent,Flat,2.0,1.0,514 sq ft,0.4,3
"Basil Street, Knightsbridge, London, SW3",SW3,2579,2975,Long term,Furnished,Ask agent,Studio,,1.0,321 sq ft,0.4,3
"Victoria Road, London, NW6",NW6,2578,0,Long term,Ask agent,Ask agent,Apartment,2.0,1.0,Ask agent,0.3,3
"Blantyre Walk, Worlds End Estate, London, SW10",SW10,3497,4035,Long term,Ask agent,Ask agent,Apartment,3.0,1.0,Ask agent,0.7,3
"Lismore Boulevard, Colindale, London, NW9",NW9,1750,2020,Long term,Unfurnished,Ask agent,Flat,1.0,1.0,482 sq ft,0.8,3
"Upper Richmond Road, East Putney, London, SW15",SW15,2950,3404,Long term,Part furnished,Ask agent,Flat,2.0,2.0,923 sq ft,0.3,3
"Thornes House, London, SW11",SW11,4680,0,Long term,Furnished,Ask agent,Flat,2.0,2.0,886 sq ft,0.4,3
"Ambassador Building, 5 New Union Square, London, SW8",SW8,3142,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.6,3
"Elsham Road, Holland Park, London, W14",W14,3879,895,Short term,Ask agent,Ask agent,Flat,1.0,1.0,742 sq ft,0.4,3
"Thornes House, London, SW11",SW11,6873,0,Long term,Furnished,Ask agent,Flat,3.0,2.0,"1,123 sq ft",0.4,3
"Thornes House, London, SW11",SW11,4290,0,Long term,Furnished,Ask agent,Flat,2.0,2.0,864 sq ft,0.4,3
"Visage Apartments, Winchester Road, Swiss Cottage, NW3",NW3,3250,0,Long term,Furnished,Ask agent,Apartment,2.0,2.0,950 sq ft,0.3,3
"Welbeck Street, London, W1G",W1G,2535,0,Long term,Ask agent,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"Crawford Street, London, W1H",W1H,2297,0,Long term,Ask agent,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3
"Marble Arch Apartments, Harrowby Street, London, W1H",W1H,2427,0,Long term,Ask agent,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3
"Alma Square, London, NW8",NW8,2492,0,Long term,Ask agent,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"Buckingham Palace Road, London, SW1W",SW1W,7150,9900,Long term,Furnished,Ask agent,Apartment,3.0,2.0,Ask agent,0.4,3
"Forum Magnum Square, Waterloo, London, SE1",SE1,3463,3995,Long term,Part furnished,Ask agent,Flat,2.0,2.0,712 sq ft,0.3,3
"Station Road, New Barnet, Barnet, EN5",EN5,2700,700,Short term,Ask agent,Ask agent,Flat,1.0,1.0,360 sq ft,0.6,3
"Station Road, New Barnet, Barnet, EN5",EN5,1700,1962,Long term,Unfurnished,Ask agent,Flat,1.0,1.0,360 sq ft,0.6,3
"Harrowby Street, Marylebone, London, W1H",W1H,5200,6000,Long term,Unfurnished,Ask agent,Flat,3.0,3.0,"1,399 sq ft",0.3,3
"Great Cumberland Place, Marylebone, London, W1H",W1H,3502,4040,Long term,Part furnished,Ask agent,Flat,3.0,1.0,968 sq ft,0.3,3
"Jermyn Street, Piccadilly Circus, London, SW1Y",SW1Y,1950,2250,Long term,Furnished,Ask agent,Studio,,1.0,358 sq ft,0.3,3
"Blackfriars Road, Southwark, London, SE1",SE1,3640,4200,Long term,Furnished,Ask agent,Flat,2.0,2.0,853 sq ft,0.3,3
"Merrick Road, Southall, UB2",UB2,1550,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,1.2,3
"Ifield Road, Chelsea, London, SW10",SW10,4117,4750,Long term,Furnished,Ask agent,Flat,2.0,2.0,944 sq ft,0.5,3
