name,lat,lon,railway,station,public_transport,network,line
Shepherd's Bush Market,51.50607,-0.2263134,station,subway,station,London Underground,Hammersmith & City;Circle
Finchley Central,51.6008355,-0.192318,station,subway,station,London Underground,Northern
Sloane Square,51.4922264,-0.1558767,station,subway,station,London Underground,District;Circle
Wimbledon,51.4220721,-0.2052902,station,subway,station,National Rail;London Underground;London Trams,District
Mansion House,51.5118924,-0.0952228,station,subway,station,London Underground,District;Circle
North Harrow,51.5851618,-0.3631762,station,subway,station,London Underground,Metropolitan
Harrow & Wealdstone,51.5922178,-0.3348748,station,subway,station,London Underground;London Overground,Bakerloo
North Ealing,51.5174885,-0.2887523,station,subway,station,London Underground,Piccadilly
Ruislip Gardens,51.5606573,-0.4104614,station,subway,station,London Underground,Central
South Kenton,51.5703076,-0.3085107,station,subway,station,London Underground;London Overground,Bakerloo
North Wembley,51.5624017,-0.3038698,station,subway,station,London Underground;London Overground,Bakerloo
Tooting Bec,51.4356228,-0.1597188,station,subway,station,London Underground,Northern
Clapham North,51.4653034,-0.1296388,station,subway,station,London Underground,Northern
Oval,51.4818339,-0.1123953,station,subway,station,London Underground,Northern
Kennington,51.4882861,-0.1058829,station,subway,station,London Underground,Northern
St. James's Park,51.4992816,-0.1345942,station,subway,station,London Underground,District;Circle
Westminster,51.5013562,-0.1249302,station,subway,station,London Underground,District;Circle;Jubilee
Brixton,51.4626097,-0.114705,station,subway,station,London Underground,Victoria
Blackhorse Road,51.5867174,-0.0416453,station,subway,station,London Underground;London Overground,Victoria
Clapham South,51.4528372,-0.1475523,station,subway,station,London Underground,Northern
Balham,51.4433857,-0.1528977,station,subway,station,London Underground,Northern
Tooting Broadway,51.4277387,-0.1682905,station,subway,station,London Underground,Northern
Colliers Wood,51.4182747,-0.1778626,station,subway,station,London Underground,Northern
South Wimbledon,51.4151759,-0.1926457,station,subway,station,London Underground,Northern
Redbridge,51.5763203,0.0454097,station,subway,station,London Underground,Central
Old Street,51.5256284,-0.0876094,station,subway,station,National Rail;London Underground,Northern City;Northern
Kenton,51.5815255,-0.3166378,station,subway,station,London Underground;London Overground,Bakerloo
